title,url,text_for_llm,occ_relevant,occ_relevant_reasoning,gwa,gwa_reasoning,iwa,iwa_reasoning,dwa,dwa_reasoning,task,task_reasoning,deployability,deployability_reasoning,workflow_auto,workflow_auto_reasoning
SQL Server MCP Server,https://mcp.so/server/mssql-mcp-server/Popplywop,Description: SQL Server MCP Server - Provides SQL Server database access via Model Context Protocol Use cases: Querying customer data from a SQL Server database. Inserting new records into a database table. Updating existing records based on specific conditions.,Yes,"The MCP server provides access to SQL Server databases for querying, inserting, and updating records, which are standard tasks performed by database administrators, data analysts, and other IT professionals as part of their occupational duties according to O*NET.",Getting Information;Processing Information;Analyzing Data or Information;Documenting/Recording Information,"The SQL Server MCP Server enables querying, inserting, and updating data in a SQL Server database, which directly maps to activities involving obtaining, processing, and analyzing information, as well as recording and documenting data. These actions are core to ""Getting Information,"" ""Processing Information,"" ""Analyzing Data or Information,"" and ""Documenting/Recording Information."" Excluding any of these would risk omitting tasks such as data retrieval, entry, update, or analysis that are fundamental to database operations.","Gather information from physical or electronic sources; Compile records, documentation, or other data; Maintain operational records; Maintain sales or financial records; Prepare reports of operational or procedural activities; Prepare financial documents, reports, or budgets; Document technical designs, procedures, or activities; Evaluate the quality or accuracy of data; Analyze business or financial data; Analyze data to improve operations.","The SQL Server MCP Server enables querying, inserting, and updating records in a SQL Server database, which directly supports activities involving gathering, compiling, maintaining, and preparing data and records. Excluding any of these would risk omitting core database-related ONET tasks such as querying for information, updating records, and generating reports or documentation from database contents.","Analyze data to assess operational or project effectiveness; Analyze data to identify or resolve operational problems; Analyze data to inform operational decisions or activities; Analyze operational data to evaluate operations, processes or products; Analyze operational or research data; Calculate data to inform organizational operations; Interpret research or operational data","The SQL Server MCP enables querying, inserting, and updating data in a SQL Server database, which directly supports activities involving the analysis, interpretation, and calculation of operational or business data. Excluding any DWA that covers these core data manipulation and analysis tasks would risk omitting standardized ONET tasks that are commonly automated or supported by such a system.","Analyze data to determine answers to questions from customers or members of the public; Analyze information obtained from management to conceptualize and define operational problems; Analyze internal processes and recommend and implement procedural or policy changes to improve operations, such as supply changes or the disposal of records; Analyze inventories to determine how to increase inventory turns, reduce waste, or optimize customer service; Analyze market and delivery systems to assess present and future material availability; Analyze network data to determine network usage, disk space availability, or server function; Analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change; Analyze quality control test results and provide feedback and interpretation to production management or staff; Analyze research data to determine its significance, using computers; Analyze system performance or operational requirements; Analyze, interpret, or disseminate system performance data; Analyze, manipulate, or process large sets of data using statistical software; Check and analyze operating system or application log files regularly to verify proper system performance; Code, evaluate, or interpret collected study data; Collect and analyze data, such as studying old records, tallying the number of outpatients entering each day or week, or participating in federal, state, or local population surveys as a Census Enumerator; Collect, analyze, and interpret data, such as election results and public opinion surveys, reporting on findings, recommendations, and conclusions; Compile and analyze test information to determine process or equipment operating efficiency or to diagnose malfunctions; Compile and interpret results of tests and analyses; Compute and analyze data, using statistical formulas and computers or calculators; Compute reporting metrics, such as on-time delivery rates, order fulfillment rates, or inventory turns; Conduct quality analyses of data inputs and resulting analyses or predictions; Generate data queries, based on validation checks or errors and omissions identified during data entry, to resolve identified problems; Generate financial ratios, using computer programs, to evaluate customers' financial status; Identify solutions to business problems, such as budgeting, staffing, and marketing decisions, using the results of data analysis; Identify, analyze, and document problems with program function, output, online screen, or content; Interpret data from traffic modeling software, geographic information systems, or associated databases; Interpret data, reports, maps, photographs, or charts to predict long- or short-range weather conditions, using computer models and knowledge of climate theory, physics, and mathematics; Monitor and analyze network performance and reports on data input or output to detect problems, identify inefficient use of computer resources, or perform capacity planning; Monitor and analyze sales promotion results to determine cost effectiveness of promotion campaigns; Review and analyze computer printouts and performance indicators to locate code problems, and correct errors by correcting codes; Review financial statements, sales or activity reports, or other performance data to identify opportunities for cost reductions or service improvements; Review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement; Review project activities and prepare and review research, testing, or operational reports; Review reports submitted by staff members to recommend approval or to suggest changes; Review work procedures and operational problems to determine ways to improve service, performance, or safety.","The SQL Server MCP server provides access to query, insert, and update data in a SQL Server database. Therefore, any task that involves analyzing, querying, manipulating, or interpreting data stored in a SQL Server database could be automated or supported by this MCP. Tasks that require direct data analysis, report generation, or data-driven decision support are included, while tasks requiring domain-specific interpretation, physical actions, or external integrations not described are excluded.",,,,
DART-mcp-server,https://mcp.so/server/DART-mcp-server/snaiws,Description: API mcp Use cases: Fetching financial statements of publicly listed companies in Korea. Analyzing trends in corporate disclosures over time. Integrating financial data into applications for analysis and reporting.,Yes,"The MCP server enables fetching financial statements, analyzing corporate disclosure trends, and integrating financial data for analysis and reporting, all of which are concrete tasks performed by financial analysts, accountants, and business intelligence professionals as represented in O*NET.",Getting Information; Analyzing Data or Information; Processing Information,"The MCP enables fetching, integrating, and analyzing financial data, which directly maps to ""Getting Information,"" ""Analyzing Data or Information,"" and ""Processing Information."" These activities encompass the retrieval, examination, and manipulation of financial statements and disclosures, which are core to the described use cases.","Analyze business or financial data; Analyze market or industry conditions; Compile records, documentation, or other data; Reconcile financial data","The MCP server enables fetching financial statements, analyzing trends in corporate disclosures, and integrating financial data for analysis and reporting. This directly maps to analyzing business or financial data, analyzing market or industry conditions, compiling records or data, and reconciling financial data, as these are core to the described use cases. Excluding any of these would risk omitting standardized tasks such as financial analysis, market trend analysis, data compilation, or financial reconciliation that are commonly automated or supported by such a system.",,,,,,,,
SumoLogic MCP Server,https://mcp.so/server/mcp-sumologic/greyaperez,Description: MCP Server for SumoLogic API Use cases: Monitoring application performance through SumoLogic. Collecting and analyzing logs from multiple sources. Automating data reporting and visualization tasks.,Yes,"The MCP server enables monitoring application performance, collecting and analyzing logs, and automating data reporting and visualization, all of which are concrete tasks performed by IT professionals such as system administrators and data analysts, and are represented in O*NET.","Analyzing Data or Information; Monitoring Processes, Materials, or Surroundings; Getting Information; Processing Information; Documenting/Recording Information","The MCP server for SumoLogic enables monitoring, collecting, analyzing, and reporting on log and performance data, which directly maps to activities such as analyzing data, monitoring processes, getting and processing information, and documenting or reporting findings. These GWAs cover the core human work replaced or supported by such a system, and excluding any would risk omitting key automated tasks like log analysis, performance monitoring, and automated reporting.","Analyze performance of systems or equipment; Monitor operation of computer or information technologies; Gather data about operational or development activities; Compile records, documentation, or other data; Prepare reports of operational or procedural activities.","The MCP server for SumoLogic API enables monitoring application performance, collecting and analyzing logs, and automating reporting/visualization, which directly maps to analyzing performance of systems, monitoring operation of IT systems, gathering and compiling operational data, and preparing reports. Excluding any of these would risk omitting core standardized tasks like log analysis, system monitoring, and report generation that are central to SumoLogic's use in real-world deployments.",,,,,,,,
Alist MCP Server,https://mcp.so/server/alist-mcp-server/JavanShen,Description: MCP Server for Alist Use cases: Integrating Alist API into applications for data retrieval. Facilitating communication between different services using MCP. Automating tasks that require interaction with the Alist API.,Yes,"The MCP server enables integration with the Alist API for data retrieval, service communication, and task automation, all of which are common activities in software development and IT occupations as represented in O*NET.",Getting Information; Processing Information; Communicating with People Outside the Organization,"The MCP server for Alist primarily enables automated data retrieval, integration, and communication between services via APIs, which directly maps to activities such as ""Getting Information,"" ""Processing Information,"" and ""Communicating with People Outside the Organization."" These GWAs cover the core human work of accessing, exchanging, and handling data between systems, which are the main functions automated or supported by this MCP.",,,,,,,,,,
Vapi MCP for Cursor,https://mcp.so/server/vapi-mcp/matthewdcage,Description: Vapi.ai MCP server & HTTP Server Use cases: Making customer service calls using AI assistants. Creating personalized voice assistants for different applications. Analyzing conversation data for insights and improvements.,Yes,"The MCP server is described as enabling AI assistants to make customer service calls, create personalized voice assistants for applications, and analyze conversation data for insights—activities that align with standardized occupational tasks in customer service, technical support, and data analysis as represented in O*NET.",Communicating with People Outside the Organization; Analyzing Data or Information; Getting Information,"The MCP server enables AI assistants to make customer service calls, create personalized voice assistants, and analyze conversation data. These activities directly involve ""Communicating with People Outside the Organization"" (for customer calls), ""Analyzing Data or Information"" (for conversation analysis), and ""Getting Information"" (as AI assistants retrieve and process information during interactions). Excluding any of these would risk omitting core tasks automated by the MCP.",,,,,,,,,,
MCP Graph API Integration,https://mcp.so/server/graph_api_mcp/ovaismehboob,Description: MCP Server that talks to Graph API Use cases: Querying Azure AD resources using natural language. Managing application registrations in Azure AD. Assisting users with Azure AD permissions and configurations.,Yes,"The MCP server enables querying and managing Azure AD resources, application registrations, and permissions, which are concrete tasks performed by IT administrators and support staff as part of their occupational duties, as represented in O*NET job tasks related to network and systems administration.",Getting Information; Processing Information; Updating and Using Relevant Knowledge; Evaluating Information to Determine Compliance with Standards; Making Decisions and Solving Problems,"The MCP server enables querying and managing Azure AD resources, which involves obtaining information, processing it, and potentially updating configurations or permissions. These activities map directly to ""Getting Information,"" ""Processing Information,"" and ""Updating and Using Relevant Knowledge."" Additionally, ""Evaluating Information to Determine Compliance with Standards"" is relevant due to permissions and configuration management, and ""Making Decisions and Solving Problems"" may be involved in assisting users with configurations.",,,,,,,,,,
Filament MCP Server - Laravel Loop,https://mcp.so/server/laravel-loop-filament/kirschbaum-development,Description: Filament MCP Server for Laravel Loop Use cases: Listing all available Filament Resources for an MCP client. Describing the structure and fields of a specific resource. Querying data with optional filters for specific resources. Executing bulk actions on resources in ReadWrite mode.,Yes,"The MCP server enables listing, describing, querying, and performing bulk actions on Filament Resources, which are typical tasks in database administration, data management, and backend web development—roles that are well-represented in O*NET and the formal economy.",Getting Information; Processing Information; Documenting/Recording Information,"The MCP server enables listing, describing, querying, and executing actions on data resources, which directly maps to activities such as obtaining information, processing it, and recording or updating it. These actions are core to ""Getting Information,"" ""Processing Information,"" and ""Documenting/Recording Information."" Excluding any of these would risk omitting tasks like data retrieval, manipulation, or documentation that are central to the MCP's use cases.","Collect data about consumer needs or opinions; Compile records, documentation, or other data; Document technical designs, procedures, or activities; Evaluate the quality or accuracy of data; Gather data about operational or development activities; Maintain operational records; Prepare documentation for contracts, applications, or permits; Prepare reports of operational or procedural activities; Present research or technical information; Read documents or materials to inform work processes.","The MCP server enables listing, describing, querying, and performing actions on structured resources, which directly maps to gathering, compiling, maintaining, and preparing records or documentation, as well as evaluating data quality and presenting technical information. Excluding any of these would risk omitting core standardized tasks such as querying, updating, or reporting on data resources that the MCP is designed to automate or support.",,,,,,,,
mxHERO Mail2Cloud MCP,https://mcp.so/server/mxhero-mail2cloud-mcp/mxHERO,"Description: A high performance email search MCP for teams & companies. Secure & scalable across multiple email accounts and archives with support for custom filters (e.g., customer facing communications only). This MCP is used to facilitate seamless integration to mxHERO Mail2Cloud Advanced. Mail2Cloud Advanced is a high performance data pipeline to a company's email data. Mail2Cloud Advanced connects to company email services and optimizes the content for fast, scalable and secure access by AI solutions Use cases: Facilitating knowledge recovery from extensive email archives. Enhancing productivity by providing quick access to relevant email communications. Supporting AI solutions in searching and analyzing email data.",Yes,"The MCP server enables high-performance search and retrieval of email communications across company accounts, which aligns with occupational tasks such as information retrieval, knowledge management, and email analysis—activities commonly performed by administrative professionals, knowledge workers, and IT staff as represented in O*NET.",Getting Information; Processing Information; Analyzing Data or Information,"The MCP enables searching, filtering, and retrieving information from large email archives, which directly supports activities involving obtaining, processing, and analyzing information. It also facilitates documenting or recording information when results are used elsewhere, but its core is about accessing and working with data. Excluding any of these would risk omitting key tasks such as searching, extracting, or analyzing email content.","Gather information from physical or electronic sources; Compile records, documentation, or other data; Analyze data to improve operations; Evaluate the quality or accuracy of data.","The MCP enables secure, scalable, and filtered search and retrieval of email data, supporting knowledge recovery, productivity, and AI-driven analysis. This directly maps to gathering information from electronic sources, compiling records or data, analyzing data to improve operations, and evaluating the quality or accuracy of data, as these are core to searching, retrieving, and making sense of large email archives for business purposes.",Check data for recording errors; Evaluate data quality; Review accuracy of sales or other transactions; Verify accuracy of data; Verify accuracy of records; Verify information or specifications.,"The MCP enables searching, filtering, and retrieving email data, which directly supports activities related to verifying, evaluating, and checking the quality or accuracy of electronic records and data. Excluding any of the DWAs related to data or record verification, evaluation, or checking could omit standardized tasks that are commonly automated or supported by such an email search and analysis system.","Perform database verifications, using computers; Verify accuracy of data; Verify accuracy of records; Verify information or specifications.","The MCP server enables high-performance search and verification of email data, supporting tasks that involve checking, verifying, or reviewing information or records stored in email archives. It does not interact with physical materials, tickets, or equipment, but it can facilitate the verification of data, records, and information as found in digital communications.",,,,
MCP Server,https://mcp.so/server/AzureAI.MCP/RobertEichenseer,"Description: MCP Server (Resources, Tools, Prompts)",Not enough information,"The description only states that the MCP server involves ""Resources, Tools, Prompts"" and allows AI assistants to access external tools, APIs, or data sources, but it does not specify any concrete tasks or occupational activities it enables. The information is too generic to determine if it performs or enables a standardized job task.",,,,,,,,,,,,
mcp-fastify-server,https://mcp.so/server/mcp-fastify-server/bgaurav7,Description: Sample Model Context Protocol (MCP) Server Use cases: Developing applications that require a structured communication protocol. Learning how to implement a server using Fastify and TypeScript. Prototyping and testing Model Context Protocol implementations.,Yes,"The description states that the MCP server is used for developing applications with structured communication, learning server implementation, and prototyping/testing protocol implementations, all of which are concrete tasks performed by software developers and engineers as part of their occupational roles according to O*NET.",Getting Information; Processing Information; Analyzing Data or Information; Updating and Using Relevant Knowledge,"The MCP server enables structured communication between AI assistants and external tools, APIs, or data sources, which directly involves ""Getting Information"" and ""Processing Information."" Developing, prototyping, and testing such a server also inherently requires ""Analyzing Data or Information"" and ""Updating and Using Relevant Knowledge"" to ensure correct implementation and improvement. Excluding any of these would risk omitting core technical and operational activities involved in deploying and using an MCP server in real-world settings.",,,,,,,,,,
