title,iwa_llm_raw,iwa_human_raw,iwa_shared,iwa_llm_only,iwa_human_only,count_llm,count_human,count_shared,count_llm_only,count_human_only
SQL Server MCP Server,"Gather information from physical or electronic sources; Compile records, documentation, or other data; Maintain operational records; Maintain sales or financial records; Prepare reports of operational or procedural activities; Prepare financial documents, reports, or budgets; Document technical designs, procedures, or activities; Evaluate the quality or accuracy of data; Analyze business or financial data; Analyze data to improve operations.",Maintain operational records.,Maintain operational records,Analyze business or financial data; Analyze data to improve operations; Compile records documentation or other data; Document technical designs procedures or activities; Evaluate the quality or accuracy of data; Gather information from physical or electronic sources; Maintain sales or financial records; Prepare financial documents reports or budgets; Prepare reports of operational or procedural activities,,10,1,1,9,0
DART-mcp-server,"Analyze business or financial data; Analyze market or industry conditions; Compile records, documentation, or other data; Reconcile financial data",Analyze business or financial data.; Gather information from physical or electronic sources.,Analyze business or financial data,Analyze market or industry conditions; Compile records documentation or other data; Reconcile financial data,Gather information from physical or electronic sources,4,2,1,3,1
SumoLogic MCP Server,"Analyze performance of systems or equipment; Monitor operation of computer or information technologies; Gather data about operational or development activities; Compile records, documentation, or other data; Prepare reports of operational or procedural activities.",Analyze data to improve operations.; Analyze performance of systems or equipment.; Monitor operation of computer or information technologies.,Analyze performance of systems or equipment; Monitor operation of computer or information technologies,Compile records documentation or other data; Gather data about operational or development activities; Prepare reports of operational or procedural activities,Analyze data to improve operations,5,3,2,3,1
Filament MCP Server - Laravel Loop,"Collect data about consumer needs or opinions; Compile records, documentation, or other data; Document technical designs, procedures, or activities; Evaluate the quality or accuracy of data; Gather data about operational or development activities; Maintain operational records; Prepare documentation for contracts, applications, or permits; Prepare reports of operational or procedural activities; Present research or technical information; Read documents or materials to inform work processes.",Gather information from physical or electronic sources.,,Collect data about consumer needs or opinions; Compile records documentation or other data; Document technical designs procedures or activities; Evaluate the quality or accuracy of data; Gather data about operational or development activities; Maintain operational records; Prepare documentation for contracts applications or permits; Prepare reports of operational or procedural activities; Present research or technical information; Read documents or materials to inform work processes,Gather information from physical or electronic sources,10,1,0,10,1
mxHERO Mail2Cloud MCP,"Gather information from physical or electronic sources; Compile records, documentation, or other data; Analyze data to improve operations; Evaluate the quality or accuracy of data.",Gather information from physical or electronic sources.,Gather information from physical or electronic sources,Analyze data to improve operations; Compile records documentation or other data; Evaluate the quality or accuracy of data,,4,1,1,3,0
Amadeus MCP Server,Obtain information about goods or services; Gather information from physical or electronic sources.,"Compile records, documentation, or other data.",,Gather information from physical or electronic sources; Obtain information about goods or services,Compile records documentation or other data,2,1,0,2,1
Gitee MCP Server,"Compile records, documentation, or other data; Document technical designs, procedures, or activities; Gather information from physical or electronic sources; Implement procedures or processes; Maintain operational records; Prepare reports of operational or procedural activities.",Gather information from physical or electronic sources.,Gather information from physical or electronic sources,Compile records documentation or other data; Document technical designs procedures or activities; Implement procedures or processes; Maintain operational records; Prepare reports of operational or procedural activities,,6,1,1,5,0
iRacing,"Analyze performance of systems or equipment; Gather information from physical or electronic sources; Compile records, documentation, or other data.",Gather information from physical or electronic sources.,Gather information from physical or electronic sources,Analyze performance of systems or equipment; Compile records documentation or other data,,3,1,1,2,0
mcp-server-rubygems,"Gather information from physical or electronic sources; Obtain information about goods or services; Document technical designs, procedures, or activities.",Gather information from physical or electronic sources.,Gather information from physical or electronic sources,Document technical designs procedures or activities; Obtain information about goods or services,,3,1,1,2,0
Stability AI MCP Server,"Create artistic designs or performances; Create visual designs or displays; Develop news, entertainment, or artistic content",Create visual designs or displays.,Create visual designs or displays,Create artistic designs or performances; Develop news entertainment or artistic content,,3,1,1,2,0
Web Content MCP,"Collect data about consumer needs or opinions; Compile records, documentation, or other data; Document technical designs, procedures, or activities; Evaluate the quality or accuracy of data; Gather data about operational or development activities; Gather information for news stories; Gather information from physical or electronic sources; Prepare informational or instructional materials; Present research or technical information; Read documents or materials to inform work processes; Research organizational behavior, processes, or performance; Research technology designs or applications.","Collect data about consumer needs or opinions.; Gather information for news stories.; Gather information from physical or electronic sources.; Research agricultural processes or practices.; Research biological or ecological phenomena.; Research healthcare issues.; Research historical or social issues.; Research issues related to earth sciences.; Research organizational behavior, processes, or performance.; Research technology designs or applications.",Collect data about consumer needs or opinions; Gather information for news stories; Gather information from physical or electronic sources; Research organizational behavior processes or performance; Research technology designs or applications,Compile records documentation or other data; Document technical designs procedures or activities; Evaluate the quality or accuracy of data; Gather data about operational or development activities; Prepare informational or instructional materials; Present research or technical information; Read documents or materials to inform work processes,Research agricultural processes or practices; Research biological or ecological phenomena; Research healthcare issues; Research historical or social issues; Research issues related to earth sciences,12,10,5,7,5
DiceDB MCP,"Compile records, documentation, or other data; Document technical designs, procedures, or activities; Evaluate the quality or accuracy of data; Gather data about operational or development activities; Maintain operational records; Prepare reports of operational or procedural activities; Analyze data to improve operations.",Gather information from physical or electronic sources.,,Analyze data to improve operations; Compile records documentation or other data; Document technical designs procedures or activities; Evaluate the quality or accuracy of data; Gather data about operational or development activities; Maintain operational records; Prepare reports of operational or procedural activities,Gather information from physical or electronic sources,7,1,0,7,1
