title,iwa_llm_raw,iwa_human_raw,iwa_shared,iwa_llm_only,iwa_human_only,count_llm,count_human,count_shared,count_llm_only,count_human_only
SQL Server MCP Server,"Gather information from physical or electronic sources; Compile records, documentation, or other data; Maintain operational records; Document technical designs, procedures, or activities.",Maintain operational records.,Maintain operational records,Compile records documentation or other data; Document technical designs procedures or activities; Gather information from physical or electronic sources,,4,1,1,3,0
DART-mcp-server,"Analyze business or financial data; Analyze market or industry conditions; Compile records, documentation, or other data",Analyze business or financial data.; Gather information from physical or electronic sources.,Analyze business or financial data,Analyze market or industry conditions; Compile records documentation or other data,Gather information from physical or electronic sources,3,2,1,2,1
SumoLogic MCP Server,"Analyze performance of systems or equipment; Monitor operation of computer or information technologies; Gather data about operational or development activities; Prepare reports of operational or procedural activities; Compile records, documentation, or other data.",Analyze data to improve operations.; Analyze performance of systems or equipment.; Monitor operation of computer or information technologies.,Analyze performance of systems or equipment; Monitor operation of computer or information technologies,Compile records documentation or other data; Gather data about operational or development activities; Prepare reports of operational or procedural activities,Analyze data to improve operations,5,3,2,3,1
Filament MCP Server - Laravel Loop,"Compile records, documentation, or other data; Evaluate the quality or accuracy of data; Gather information from physical or electronic sources; Maintain operational records; Prepare reports of operational or procedural activities.",Gather information from physical or electronic sources.,Gather information from physical or electronic sources,Compile records documentation or other data; Evaluate the quality or accuracy of data; Maintain operational records; Prepare reports of operational or procedural activities,,5,1,1,4,0
mxHERO Mail2Cloud MCP,"Gather information from physical or electronic sources; Compile records, documentation, or other data; Analyze data to improve operations; Analyze business or financial data.",Gather information from physical or electronic sources.,Gather information from physical or electronic sources,Analyze business or financial data; Analyze data to improve operations; Compile records documentation or other data,,4,1,1,3,0
Amadeus MCP Server,Obtain information about goods or services; Gather information from physical or electronic sources.,"Compile records, documentation, or other data.",,Gather information from physical or electronic sources; Obtain information about goods or services,Compile records documentation or other data,2,1,0,2,1
Gitee MCP Server,"Compile records, documentation, or other data; Document technical designs, procedures, or activities; Gather information from physical or electronic sources; Maintain operational records; Prepare reports of operational or procedural activities.",Gather information from physical or electronic sources.,Gather information from physical or electronic sources,Compile records documentation or other data; Document technical designs procedures or activities; Maintain operational records; Prepare reports of operational or procedural activities,,5,1,1,4,0
iRacing,Gather data about operational or development activities; Analyze performance of systems or equipment; Analyze data to improve operations.,Gather information from physical or electronic sources.,,Analyze data to improve operations; Analyze performance of systems or equipment; Gather data about operational or development activities,Gather information from physical or electronic sources,3,1,0,3,1
mcp-server-rubygems,"Obtain information about goods or services; Compile records, documentation, or other data; Document technical designs, procedures, or activities; Evaluate designs, specifications, or other technical data.",Gather information from physical or electronic sources.,,Compile records documentation or other data; Document technical designs procedures or activities; Evaluate designs specifications or other technical data; Obtain information about goods or services,Gather information from physical or electronic sources,4,1,0,4,1
Stability AI MCP Server,"Create artistic designs or performances; Create visual designs or displays; Develop news, entertainment, or artistic content; Study details of artistic productions",Create visual designs or displays.,Create visual designs or displays,Create artistic designs or performances; Develop news entertainment or artistic content; Study details of artistic productions,,4,1,1,3,0
Web Content MCP,"Gather information from physical or electronic sources; Collect data about consumer needs or opinions; Compile records, documentation, or other data; Prepare informational or instructional materials; Present research or technical information.","Collect data about consumer needs or opinions.; Gather information for news stories.; Gather information from physical or electronic sources.; Research agricultural processes or practices.; Research biological or ecological phenomena.; Research healthcare issues.; Research historical or social issues.; Research issues related to earth sciences.; Research organizational behavior, processes, or performance.; Research technology designs or applications.",Collect data about consumer needs or opinions; Gather information from physical or electronic sources,Compile records documentation or other data; Prepare informational or instructional materials; Present research or technical information,Gather information for news stories; Research agricultural processes or practices; Research biological or ecological phenomena; Research healthcare issues; Research historical or social issues; Research issues related to earth sciences; Research organizational behavior processes or performance; Research technology designs or applications,5,10,2,3,8
DiceDB MCP,"Compile records, documentation, or other data; Document technical designs, procedures, or activities; Maintain operational records; Prepare reports of operational or procedural activities; Gather data about operational or development activities; Evaluate the quality or accuracy of data; Analyze performance of systems or equipment",Gather information from physical or electronic sources.,,Analyze performance of systems or equipment; Compile records documentation or other data; Document technical designs procedures or activities; Evaluate the quality or accuracy of data; Gather data about operational or development activities; Maintain operational records; Prepare reports of operational or procedural activities,Gather information from physical or electronic sources,7,1,0,7,1
