title,iwa_llm_raw,iwa_human_raw,iwa_shared,iwa_llm_only,iwa_human_only,count_llm,count_human,count_shared,count_llm_only,count_human_only
SQL Server MCP Server,"Compile records, documentation, or other data; Maintain operational records; Maintain sales or financial records; Prepare reports of operational or procedural activities; Gather information from physical or electronic sources; Prepare financial documents, reports, or budgets; Document technical designs, procedures, or activities; Evaluate the quality or accuracy of data; Analyze business or financial data; Analyze data to improve operations; Update existing records based on specific conditions.",Maintain operational records.,Maintain operational records,Analyze business or financial data; Analyze data to improve operations; Compile records documentation or other data; Document technical designs procedures or activities; Evaluate the quality or accuracy of data; Gather information from physical or electronic sources; Maintain sales or financial records; Prepare financial documents reports or budgets; Prepare reports of operational or procedural activities; Update existing records based on specific conditions,,11,1,1,10,0
DART-mcp-server,"Analyze business or financial data; Analyze market or industry conditions; Compile records, documentation, or other data; Reconcile financial data",Analyze business or financial data.; Gather information from physical or electronic sources.,Analyze business or financial data,Analyze market or industry conditions; Compile records documentation or other data; Reconcile financial data,Gather information from physical or electronic sources,4,2,1,3,1
SumoLogic MCP Server,"Analyze performance of systems or equipment; Monitor operation of computer or information technologies; Gather data about operational or development activities; Compile records, documentation, or other data; Prepare reports of operational or procedural activities.",Analyze data to improve operations.; Analyze performance of systems or equipment.; Monitor operation of computer or information technologies.,Analyze performance of systems or equipment; Monitor operation of computer or information technologies,Compile records documentation or other data; Gather data about operational or development activities; Prepare reports of operational or procedural activities,Analyze data to improve operations,5,3,2,3,1
Alist MCP Server,"Compile records, documentation, or other data; Gather information from physical or electronic sources; Obtain information about goods or services",,,Compile records documentation or other data; Gather information from physical or electronic sources; Obtain information about goods or services,,3,0,0,3,0
Vapi MCP for Cursor,"Provide information or assistance to the public; Provide information to guests, clients, or customers; Obtain information about goods or services; Collect data about consumer needs or opinions; Analyze data to improve operations.","Provide information or assistance to the public.; Provide information to guests, clients, or customers.; Perform administrative or clerical activities.; Promote products, services, or programs.; Sell products or services.",Provide information or assistance to the public; Provide information to guests clients or customers,Analyze data to improve operations; Collect data about consumer needs or opinions; Obtain information about goods or services,Perform administrative or clerical activities; Promote products services or programs; Sell products or services,5,5,2,3,3
MCP Graph API Integration,Gather information from physical or electronic sources; Evaluate the quality or accuracy of data; Examine materials or documentation for accuracy or compliance; Implement procedures or processes; Maintain current knowledge in area of expertise.,Perform administrative or clerical activities.,,Evaluate the quality or accuracy of data; Examine materials or documentation for accuracy or compliance; Gather information from physical or electronic sources; Implement procedures or processes; Maintain current knowledge in area of expertise,Perform administrative or clerical activities,5,1,0,5,1
Filament MCP Server - Laravel Loop,"Collect data about consumer needs or opinions; Compile records, documentation, or other data; Document technical designs, procedures, or activities; Evaluate the quality or accuracy of data; Gather data about operational or development activities; Gather information from physical or electronic sources; Maintain operational records; Obtain information about goods or services; Prepare documentation for contracts, applications, or permits; Prepare reports of operational or procedural activities; Present research or technical information; Read documents or materials to inform work processes.",Gather information from physical or electronic sources.,Gather information from physical or electronic sources,Collect data about consumer needs or opinions; Compile records documentation or other data; Document technical designs procedures or activities; Evaluate the quality or accuracy of data; Gather data about operational or development activities; Maintain operational records; Obtain information about goods or services; Prepare documentation for contracts applications or permits; Prepare reports of operational or procedural activities; Present research or technical information; Read documents or materials to inform work processes,,12,1,1,11,0
mxHERO Mail2Cloud MCP,"Gather information from physical or electronic sources; Compile records, documentation, or other data; Analyze data to improve operations; Evaluate the quality or accuracy of data.",Gather information from physical or electronic sources.,Gather information from physical or electronic sources,Analyze data to improve operations; Compile records documentation or other data; Evaluate the quality or accuracy of data,,4,1,1,3,0
mcp-fastify-server,"Analyze data to improve operations; Compile records, documentation, or other data; Evaluate the quality or accuracy of data; Gather information from physical or electronic sources; Maintain current knowledge in area of expertise; Research technology designs or applications.","Set up computer systems, networks, or other information systems.",,Analyze data to improve operations; Compile records documentation or other data; Evaluate the quality or accuracy of data; Gather information from physical or electronic sources; Maintain current knowledge in area of expertise; Research technology designs or applications,Set up computer systems networks or other information systems,6,1,0,6,1
Amadeus MCP Server,Obtain information about goods or services.,"Compile records, documentation, or other data.",,Obtain information about goods or services,Compile records documentation or other data,1,1,0,1,1
Hubble AI for Solana,"Analyze business or financial data; Compile records, documentation, or other data; Gather information from physical or electronic sources.",Present research or technical information.,,Analyze business or financial data; Compile records documentation or other data; Gather information from physical or electronic sources,Present research or technical information,3,1,0,3,1
CyberChef API MCP Server,"Analyze data to improve operations; Analyze scientific or applied data using mathematical principles; Compile records, documentation, or other data; Sort materials or products; Evaluate the quality or accuracy of data.","Maintain electronic, computer, or other technical equipment.",,Analyze data to improve operations; Analyze scientific or applied data using mathematical principles; Compile records documentation or other data; Evaluate the quality or accuracy of data; Sort materials or products,Maintain electronic computer or other technical equipment,5,1,0,5,1
Self-hosted AI starter kit (by the n8n team),Gather information from physical or electronic sources; Analyze data to improve operations; Process information; Develop operational or technical procedures or standards; Update and use relevant knowledge.,"Set up computer systems, networks, or other information systems.",,Analyze data to improve operations; Develop operational or technical procedures or standards; Gather information from physical or electronic sources; Process information; Update and use relevant knowledge,Set up computer systems networks or other information systems,5,1,0,5,1
